240.02,3.9628e-02
240.11,4.0790e-02
240.19,4.1291e-02
240.28,4.0824e-02
240.37,3.9529e-02
240.46,3.8305e-02
240.55,3.7327e-02
240.64,3.6454e-02
240.73,3.5846e-02
240.82,3.5959e-02
240.92,3.6317e-02
241.01,3.6588e-02
241.10,3.6892e-02
241.19,3.7662e-02
241.28,3.9135e-02
241.37,4.1126e-02
241.46,4.3776e-02
241.55,4.7239e-02
241.64,5.1151e-02
241.74,5.5743e-02
241.83,5.9475e-02
241.92,6.2702e-02
242.01,6.5288e-02
242.11,6.7012e-02
242.20,6.8152e-02
242.29,6.8832e-02
242.38,6.9045e-02
242.48,6.8820e-02
242.57,6.8860e-02
242.66,6.9555e-02
242.76,7.0067e-02
242.85,6.9842e-02
242.94,6.9329e-02
243.04,6.8583e-02
243.13,6.7634e-02
243.23,6.5685e-02
243.32,6.3748e-02
243.42,6.2351e-02
243.51,6.1319e-02
243.60,6.0494e-02
243.70,6.0214e-02
243.79,6.0957e-02
243.89,6.1974e-02
243.99,6.2690e-02
244.08,6.3437e-02
244.18,6.4354e-02
244.27,6.4615e-02
244.37,6.3609e-02
244.46,6.2195e-02
244.56,6.0341e-02
244.66,5.8100e-02
244.75,5.5649e-02
244.85,5.2893e-02
244.95,5.0753e-02
245.05,4.9143e-02
245.14,4.7952e-02
245.24,4.6970e-02
245.34,4.6579e-02
245.44,4.6798e-02
245.53,4.7098e-02
245.63,4.7375e-02
245.73,4.7611e-02
245.83,4.7649e-02
245.93,4.7263e-02
246.03,4.6681e-02
246.12,4.6046e-02
246.22,4.5501e-02
246.32,4.5307e-02
246.42,4.5850e-02
246.52,4.6866e-02
246.62,4.8218e-02
246.72,4.9657e-02
246.82,5.0968e-02
246.92,5.2036e-02
247.02,5.2859e-02
247.12,5.3569e-02
247.22,5.4166e-02
247.32,5.4619e-02
247.42,5.4994e-02
247.53,5.5331e-02
247.63,5.5288e-02
247.73,5.4788e-02
247.83,5.3521e-02
247.93,5.1633e-02
248.03,4.9707e-02
248.14,4.7796e-02
248.24,4.6195e-02
248.34,4.4456e-02
248.44,4.3020e-02
248.55,4.2111e-02
248.65,4.1362e-02
248.75,4.0211e-02
248.86,3.9175e-02
248.96,3.9366e-02
249.06,4.0500e-02
249.17,4.2714e-02
249.27,4.5726e-02
249.38,5.0214e-02
249.48,5.4701e-02
249.59,5.9028e-02
249.69,6.1747e-02
249.80,6.3537e-02
249.90,6.4295e-02
250.01,6.4229e-02
250.11,6.3118e-02
250.22,6.1059e-02
250.32,5.9514e-02
250.43,5.8286e-02
250.54,5.7055e-02
250.64,5.5665e-02
250.75,5.4596e-02
250.86,5.4320e-02
250.96,5.4026e-02
251.07,5.2836e-02
251.18,5.0881e-02
251.28,4.8983e-02
251.39,4.6718e-02
251.50,4.4125e-02
251.61,4.1793e-02
251.72,4.0348e-02
251.82,3.9634e-02
251.93,3.9348e-02
252.04,3.9576e-02
252.15,4.0053e-02
252.26,4.0231e-02
252.37,3.9881e-02
252.48,3.9433e-02
252.59,3.9542e-02
252.70,4.0144e-02
252.81,4.0827e-02
252.92,4.2066e-02
253.03,4.3847e-02
253.14,4.6095e-02
253.25,4.8029e-02
253.36,4.9560e-02
253.47,5.0591e-02
253.59,5.1657e-02
253.70,5.2272e-02
253.81,5.2826e-02
253.92,5.3532e-02
254.03,5.4352e-02
254.15,5.5279e-02
254.26,5.6079e-02
254.37,5.6829e-02
254.49,5.6946e-02
254.60,5.7044e-02
254.71,5.7706e-02
254.83,5.9271e-02
254.94,6.1519e-02
255.05,6.4477e-02
255.17,6.8592e-02
